,meetup_0_description
1045,"This is a group for those in the Sacramento area who like to discuss politics and philosophy. We have all had different experiences in life, but we always find that political issues are very relevant to our lives and we want to discuss these issues with others. These days, political discussions are sometimes constructive, but unfortunately they often become hostile when people with differing views are in the same room. It is important for us all to hear views other than our own from time to time, and there has to be a way to have honest, thoughtful discussions on issues important to our lives while keeping the discussion calm and polite. In this discussion group, we try to avoid being overly biased when presenting opinions and we will also work to avoid use of fallacies in making points. We expect that there will be differences of opinion, but as long as we keep a philosophical mindset these discussions should not descend into hostility. Many of us also like to discuss philosophical topics and we will have time for this as well and we will probably find that most philosophical concepts have real-world applications, including political. So this discussion group will hover between these two subjects, and we might even at times focus on other subjects as well."
1046,"We are Happy Conservatives who want to create a better world, and we don't want to just talk about it...we want to take action to make it better. Because working together is more fun that working apart, this working group was formed! 
Most folks within the group are working on individual projects that they are interested in and feel passionate about.  We get together to encourage each other and hold each other accountable so the work actually gets done.
What types of projects are we talking about? Here are some examples:
• Convention of States, State of Jefferson, Illegal Immigration, Confronting Media Bias, Fighting Over-regulation, Election Integrity Project, and so on.
What kinds of things might we do? 
• Letter writing, Social Media campaigns, Coordinate school visits, Coordinate visits to legislators, ... and so on.
If you are looking for a place to talk about problems but not do anything about them, this may not be the spot for you.
If you are the type of person who can take action and enjoy others who take action too, then this group may be a good fit!"
1051,"The state of public dialog is broken, trust is low, and our democracy is degrading. We are forming a meetup to use education, processes, and current tools to raise the level of civic participation in support of the individual citizen and consumer.
Our small team has been developing concepts and building programs, but we can’t do this alone: the public square should be a community endeavor. We're at the point where need your voice in the conversation and to find out where we can contribute along side other programs.
What we propose is that a few of us come together weekly to establish common cause, develop, test, and deploy programs to educate, empower, and engage citizens. We envision localized programs such as: · Workshop and trainings · Public Lecture Series · Local Meetups · Private Groups (topical learning and action communities, campaign support, and mastermind groups) · School and Community programs · Mentoring programs · Organizational effectiveness programs
There are many initiates and programs taking root throughout the country. Let see how we can tap into these and find a way to make the progressive ecosystem stronger for all. I’d love to have you participate, or recommend someone who would be interested in participating in the project."
1052,"I am stepping up since the previous organizer never got this group going. This is a group for anyone seeking to share their experiences concerning UFO's and looking for likeminded folks of the perspective that of course we're not alone in the universe. I hope to have monthly meetings at a restaurant in the Nevada City/Grass Valley area where we can share our experiences and insights. I envision this as starting out as a somewhat structured support group. As a trained facilitator, my goal is to create a group from which each of us will leave feeling uplifted. Once I hear back from at least 3 or 4, I will send out info about a place and time."
1055,"The Maui Young Republican is a grassroots organization devoted to conservative ideals and additional support for Republican candidates.
The primary mission of the Maui Young Republicans is to provide Maui's young people with a conservative starting line in the race of politics. Ranging from ages 18-40, we seek to educate and best prepare our next generation of leaders by adopting those who share our values of liberty and freedom into our greater family and raising them up to be competent leaders in every industry and aspect of life in their community and beyond."
1057,"Concerned about where political changes are taking us? You're not alone. Join others who care about what’s happening to democracy, human rights, social justice, equality, sustainability, and other issues in America. 
Join our PAC (Political Action Coalition). It’s OK if you’ve never been to a protest, march, or town hall—start here. You really can make a difference.
We will use grass roots tactics promoted by Indivisible, Bernie Sanders, and other Democratic progressives and even some Republican moderates, to help Influence our members of congress (Senator Mazie Hirono, Senator Brian Schatz, and Representative Tulsi Gabard) to stand up against Trump's agenda, and vote against his efforts to dismantle Democracy and reason. 
Indivisible uses grass root tactics similar to those used by the ""Tea Party"" in the past to successfully influence Republicans to block President Obama's programs. We have no sympathy with the ultraconservative, mean spirited politics of the Tea Party, but acknowledge that their grass root tactics were brilliant. Their actual numbers were small, but they had a profound impact on Members of Congress. We can use those same tactics to promote a progressive agenda and ""Make America sane again""."
1068,"We are the Honolulu local chapter of the Democratic Socialists of America, the largest socialist organization in the country. We fight for more democracy -- in our politics, our workplaces, our economy. Our members are building radical movements for social change while establishing an openly socialist presence in U.S. communities and politics. 
We do so through 1) activism, 2) political education, and 3) reflection on how these two inform each other. For an advanced overview of our politics see "" to subscribe to our email newsletter to stay up to date on DSA Honolulu activities, or send us an email if you'd like to get involved! "
1072,"The Slow Food Movement The founding father of the Slow Food Movement, Carlo Petrini, recognized in 1986 that the industrialization of food was standardizing taste and leading to the annihilation of thousands of food varieties and flavors. Concerned that the world was quickly reaching a point of no return, he wanted to reach out to consumers and demonstrate to them that they have choices over fast food and supermarket homogenization. He rallied his friends and began to speak out at every available opportunity and soon the movement was born and Slow Food was created. Today the organization is active in 45 countries and has a worldwide membership of over 85,000. People have responded to the growing movement, because they have become tired of buying the same things, eating the same foods and living the same lives. With these interests in mind, our mission is to create a robust, active movement that protects taste, culture and the environment as universal social values. Slow Food programs are dedicated to the mingling of taste, culture and the environment. The Slow Food O’ahu Chapter Slow Food O’ahu is one of more than 200 chapters of Slow Food USA located throughout the United States. We are dedicated to promoting the values of the slow food movement on O’ahu. Slow Food O’ahu has a volunteer board and is operates through its bylaws. We meet approximately monthly to conduct business. For more information, contact us at slowfoodoahu@yahoo.com"
1076,"Amnesty International is a global movement of people fighting injustice and promoting human rights. We work to protect people wherever justice, freedom, truth and dignity are denied. Our vision is of a world in which every person – regardless of race, religion, ethnicity, sexual orientation or gender identity – enjoys all of the human rights enshrined in the Universal Declaration of Human Rights (UDHR) and other internationally recognized human rights standards. The UDHR states that the ""the recognition of the inherent dignity and of the equal and inalienable rights"" of all people is ""the foundation of freedom, justice and peace in the world."""
1084,"This group is for able, competent, self-reliant, intellectually honest Americans who are ready to do something to put an end to America's 100 year rule by a sick, inbred, polarized, and polarizing, DEM/GOP - Only Political Monopoly.
A Political Monopoly run by an increasingly inbred Political Class corrupted by too much power in two few hands for too long.
Today's sick old political monopoly  didn't always exist.  And only a fool would claim is ""Supposed"" to rule American until the Sun burns out in 5,000,000,000 more years. So it needs to go.  For there is a Season to all things, and its Season is over.
Therefore, if you want to accomplish something worth doing, and are not just looking to hang out talking at each other about interesting stuff, with everyone competing to come up with the worse example of how bad ""They"" are, please consider joining us.
Our goal is simple.  We have a President who didn't grow up a part of today's Political Class as most cheap politicians today have done ... from Obama to Romney, The Billary Clintons to Bushes Three ... with rich politically connected families that made it possible to skip ever having to work for a living, and just going into politics to make their easy millions
So we intend to send President Trump the help he needs in Congress by replacing one of Hawaii's interchangeable Democrats in Congress with someone who believes in America instead of ""Hawaiian Style"" Socialism. 
Its too late this year, but not for 2020 and 2022.
Given that old Lingle Leftovers and HIRA have been playing with themselves  in a mud fight that's driven  HI's GOP into the Grand Canyon of all ditches, it shouldn't be that hard to replace them
And until we do no one smart enough to trust in office will be dumb enough to stand for election wrapped in the ugly banner and carrying the ugly baggage for the losers who have turned HI's GOP into a cheap vaudevillian stage show.
I mean America's founders didn't screw around trying to ""Reform"" a sick old Monarchy.  So only a fool would grow old and try trying to ""Reform"" the clowns who've taken over HI's GOP by disgusting everyone else out of it.
The only option is to do as the founders did. Just start over with a slate wiped clean and build something  better.  Worked well then. It would work well now. Heck ... HI's GOP has already wiped itself off the slate for us anyway. 
Just Remember
... While states like CA and NY have gutted the Electoral College with their made up ALL-OR-NONE rule for Electors, to make us irrelevant in Presidential Elections,
... Hawaii is as powerful as either one in the Senate. And in a permanently polarized House ...  all it takes is 1% to pick who wins.  I mean, with America's majority deadlocked into irrelevance, it's only natural for politicians to ignore us and pander to the 1% fringe minorities. Isn't it?
And good grief if we can't defeat fools like Schotz, we should stop wasting time telling each other stuff we already know about how disgusting today's Political Class has gotten.  And take what we deserve.
As for our neighbors ... they aren't dumb Dem lever pullers kike today's GOP losers claim as their excuse for being losers.
The truth is no one worth voting for is any longer willing to stand for election wrapped in the GOP's soiled banner carry their ugly baggage.
So don't overlook that 50% of voters can no longer stomach voting for the politicians of either party. so you can't call people who won't pull any lever ... lever pullers.
The reason DEMs keep winning with so few votes is HI's GOP can no longer recruit anyone who isn't a sick embarrassment for us to vote for ... I mean after Dejou ... Dejou ... Dejou ... heaven only knows what they'll scrape up next.   
.... My bet is at the very last minute they dig up a reinvented Lingle ... any takers?
And yes ... I did say Hawaii is totally irrelevant in Presidential Elections, because it is.  And that makes it a waste of time to bother with them.  It really is this simple:
-- No one who ever won with HI's 4 Electoral Votes would have lost if they didn't have them.-- No one who ever lost without HI's 4 Electors would have won if they had them.Ok.  Time to put up, or shut up and stop whining I think.
Time to show up, register a replacement party, recruit someone we trust to help Trump, the do what's needed to get her or him elected. Or lay back and enjoy the inevtiable.
If you are willing to help, we'd love your help.
GLB"
1086,"An open discussion on politics , sexuality and society. want a place where you can talk about all of these things without fear of ""political correctness""? want to understand the through process of someone who is not like you without being called ignorant? This is the place for you! Each meeting will have a different topic of discussion. Rotating every time so we can cover a variety of subjects. Recommendations are encouraged."
1089,"As of 4/5/2017, this is the only Meetup group within 100 miles of Oregon City that supports Donald Trump.
Who should join?  Patriotic Americans who support Donald Trump's Presidency.  Our ideal member is anyone from the greater Portland metro area who is conservative, generally allied with the Republican party, and who is interested in enjoying the company of like-minded people. Why should you join?  This is an opportunity to socialize with people who share a set of values and maybe opinions, and who are also riveted by the amazing dynamics of this last Presidential election cycle.  Who needs Tom Clancy when reality is so much more interesting? What can you expect by joining?  You can expect a pleasant conversation without having to apologize for your frankly reasonable stance on politics. We will create a community of people who will participate in events, such as a TV night when Trump gives a speech, or the NRA has a membership drive if you're into that kind of a thing, or when the Boy Scouts have a fundraiser. "
1091,"Welcome to the West Linn Second Amendment Meetup! This is a group for those of us in the Pacific Northwest who believe in the Second Amendment as it was originally intended. Whether you are a gun owner or not, if you believe in individual liberty and the right of the people to keep and bear arms, let's meet!
I was unable to find any other Second Amendment groups in the Portland metro area so let's get one started. I plan on meeting in the West Linn, Lake Oswego and Oregon City area. If someone else would be willing to host meetups elsewhere in the Portland area, I would be open to that.
Perhaps, like me, you may feel that you are on an island and are unable to have a real discussion on Second Amendment issues. I have found that most do not care as much about our right to bear arms as I do, if they even care at all. That is why I believe it is important to have a social outlet for people that feel as we do.
The focus of this group will simply be an opportunity to socialize with others who believe in an individual right to bear arms. We can meet for drinks, for coffee, go on a hike, etc. I would especially like to meet when gun-related legislation is proposed or when a court decision impacts the exercise of our rights. It is important that we stay educated about what is going on. While the focus of this group is as a social gathering, if someone would like to host a meetup to put some rounds downrange, let me know.
I look forward to meeting you."
1102,"This group is the official Conscious Capitalism Portland chapter for the Portland metro and Clark County area. Conscious Capitalism is a mission to restore the heroic purpose of business to lift humanity out of poverty and create meaningful work that has positive impact on individuals, the community and the planet. Monthly meetings provide discussion, education, and networking with other conscious business owners. The goal is to support each other to develop business practices that serve all stakeholders in the business and create a workplace culture that nourishes employees."
1104,"Eyes Wide Open is a group of individuals who come from all walks of life seeking answers fearlessly looking at alternative perspectives including unpopular ones.   We tend to challenge consensus reality, political correctness and all forms of information including news, fake news, history, science and religion to see what might be propaganda.  Together we share perspectives through a kind of ""think tank"" creative communion (not debate or argument) that allows the bigger picture to come into focus.  We are also a support group for people who know too much and who would like to be around other like minded people.  The evening starts by setting an agenda that include topics that any member can suggest.  We freestyle the discussion in a very informal and comfortable way that makes each meeting different and addicting.   
As for me, I am not a leader, nor a scholar, nor a savior.  I expect no one to become a fall lower.  I am a facilitator.  I hold a space for people to investigate alternative perspectives and make friends.  
We typically meet in the basement of Flying Pie Pizza in Portland every other Thursday with the notice being sent out the Sunday just prior to the meeting.  We can have anywhere between 15 and 30 people join us.  Don't pay attention to the RSVP numbers...we are non-conformists!  We occasionally have speakers, presentations and allow members to lead the group through different topics if they choose.  We are not an organization, but are not opposed to networking after the meetings.     
The meeting wraps up around 8:30 p.m. and then we walk to Thatcher's for after hours discussion.
I hope you can join us in an exciting adventure that offers limitless possibilities as we investigate the grand illusion. 
Hope to see you soon!!
Ronda
 "
1105,"We meet weekly to discuss local, national, and global events."
1108,"This group is dedicated to proving that civil discourse between people with differing political views is possible.  Come learn how recent studies in physiological and psychological differences between conservatives and progressives provide insights into why political talk have become derailed in the past and how we can keep it on track.
We discuss candidates and issues, but that’s not what we’re about. We’re about attitude, skills and understanding.  
We embrace differences and encourage people of all political views and parties to join and participate. Our discussions will be moderated to ensure that the conversation stays open and friendly, please come learn, explore, and practice with us. 
We would love to hear your thoughts on our social media platforms. Don't miss topic announcements, updates, news! Follow us on:
Instagram @crossingpartylines Facebook @crossingpartylines "
1110,"Techno-Activism Third Mondays (TA3M) is an informal meetup designed to connect software creators and activists who are interested in censorship, surveillance, and open technology. Portland's TA3M does meetups on all of the above topics (and more!). The format varies from month to month. Sometimes we have fantastic speakers, sometimes we do lightning talks, and sometimes we do hands-on workshops. It all depends on what our meetup attendees are interested in hearing about, and what we have time to plan. Have a suggestion for a topic? Let us know!"
1111,"Welcome to the Portland Marxist Reading Meetup! To my mind, this group can be defined by contemplating these key questions: Have you ever wondered why we have an unplanned economic system based on profit instead of a planned economic system based on human need? Have you ever wondered why we are a society based on mindless, excessive, wasteful consumption instead of a society based on sustainability? Have you ever wondered why we have impending or materializing environmental and societal catastrophes (e.g., climate change, multi-eco system breakdowns, mass extinctions, poisoned oceans, fish depletions, water shortages, etc.)? Have you ever wondered why we have an overcentralized economy where the wealth of this world is distributed disproportionately to the top 1%? Have you ever wondered why we even have a hierarchal class structure? More to the point, have you ever wondered why we have SO much exploitation, homelessness, human rights abuses, poverty, food deprivation, and all around general mass suffering?  I contend that you can find the answers to these questions and many such more in this reading group. 
Reading and polemicizing orthodox Marxism is NOT my vision for this group – though I do hope we incorporate Marx and other orthodox Marxist material along the way (!) – but, rather, my vision for this group is to broaden out our scope to include a broad range of subject matter within the general arena of a Marxist (anti-capitalist) sensibility, which includes material that covers manifold anti-capitalism platforms, alternatives to capitalism (socialist, anarchist, syndicalist, humanist, etc.). So, why do I call it a “Marxist” Reading Group? I believe that Karl Marx was one of the founding fathers if not THE founding father of an alternative way of (economic) being, ALL alternatives (e.g., socialist, anarchist, syndicalist, etc.) to capitalism stemming from his extraordinary work. In this context, then, I decided to call this group the ""Marxist” Reading Group not only because I think he came up with the core ingredients for an alternative to capitalism but because his incredible body of work influenced all other visionary anti-capitalism thinkers who came after. (And the other smaller but no less important agenda on my part is to recuperate his name and his vision take it back so to speak from capitalist interests who have demonized his name over the last century or so!). 
Ideally, we include both academic and mainstream works for our readings and perhaps occasionally other texts, e.g., films, art work, literature, etc. During our meetups we will discuss our readings, which will hopefully not only stimulate thought and create more enlightened thinkers but perhaps even foster praxis!"
1112,"This meetup is the ""Welcome Party"" of The National and State Recognized Libertarian Party of Oregon.  The events listed here are to encourage understanding and and curiosity about libertarian philosophy and especially about political party participation.  Many of the events are cross posts from other meetups and LPO (Libertarian Party) events are clearly indicated to avoid confusion.
We hope you find these opportunities to explore and participate both interesting and enjoyable.  Whether you consider yourself ""No L"" (non-libertarian), ""BIG L"" (political party member) or ""little L"" (follower of philosophy and principles but not a party member), there should be something of interest here to participate in.
This meetup, according to libertarian principles, is un-moderated until serious need arises.  There are currently about 18,000 Libertarian registered voters in the State of Oregon....and growing! "
1113,"we are not affiliated with any political party, religion or organization.
""THESE are the times that try men's souls. The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country; but he that stands by it now, deserves the love and thanks of man and woman. Tyranny, like hell, is not easily conquered; yet we have this consolation with us, that the harder the conflict, the more glorious the triumph. What we obtain too cheap, we esteem too lightly: it is dearness only that gives every thing its value. Heaven knows how to put a proper price upon its goods; and it would be strange indeed if so celestial an article as FREEDOM should not be highly rated"". -Thomas Paine, The Crisis, December 23, 1776.
Welcome to our Thomas Paine MeetUp group for the Salem Oregon area. We are concerned citizens worried about the future of humanity and that of the future of the United States of America as a nation and our place in it.  It is our view that we are not alone in this thinking. Perhaps you are also concerned about the direction of our political, moral and economic futures in freedom, peace, fairness, balance, prosperity, and justice in our country today and in the future.   We are not affiliated with any political party, religion or organization. 
Possibly even more than that, you may also be wishing to engage other civic-minded participants in face-to-face meetings where political issues can be thrashed about via inquiry, critical thinking, debate, and perhaps if needed, action too. If this sounds like your cup of tea (or coffee) then please consider joining us on our regular meeting days and tell us what is on your mind.  At the end of the day, we aim to provide you with controversial, as well as, confirming perspectives on the political questions of the day.  
In September of 1787 after the new Constitution had been drafted Ben Franklin, upon exiting the statehouse in Philadelphia was approached by a woman who asked, ""Mr. Franklin what sort of government have you given us"", to which he replied, ""a constitutional republic madam, if you can keep it""."
1115,"Welcome to Eugene Feminist Meetup! Feminists of all ages, genders, ethnic identities, orientations, abilities, etc. are welcome to join the Eugene Feminist Meetup. Feminism is for everybody, as bell hooks said, and it’s important to emphasize intersectional feminism.
Please feel free to post events, for instance marches and rallies, regular feminist discussions, a monthly book discussion, feminist film screenings, movie nights and (likely un-hosted) author events and such. I’d be happy to make a lot of people organizers, so it’s more egalitarian, but you can create an event without being an official organizer.
Since moving to Eugene, I’ve noticed a need for a Eugene Feminist Meetup that isn’t only for students, so I thought I would give creating a new Meetup group a try."
1116,"We are creating a vibrant world where we give and receive from from love, and find more and more ways these gifts do not have to be limited by money. Come share your gifts, your energy, your needs, your self with us. "
1117,"The mission of this group is to bring people together in the realization that we don't have to be alone in the face of hardship. It is to then bring us together in action to overcome that hardship. It is to provide a foundation on which we can build a better life for all.
Individually, we are all at the mercy of economic and political forces far more powerful than any one of us can withstand. Together, though, we can not only survive the hardships they create for us but overcome and end them. Together we have the strength to help others to overcome them, as well. The greatest weapon the working class possesses is solidarity. We have the freedom to take the risks that saving ourselves will require when we know that our neighbors have our backs. 
We are a non-partisan, but by the very nature of our mission left-leaning, collective organizing for mutual aid and defense. We recognize that resistance to the actions of oppressive institutions and individuals requires helping those who are most harmed by them. We understand that it requires a diverse array of tactics, from something as seemingly inconsequential as holding a ""rent party"" for someone struggling to remain in their home to acts as confrontational as occupying a building or public space. We realize that good follows good and that helping to relieve the suffering of others allows them the freedom to assist us when we might need help. 
For more information email us at coos.county.mutual.aid@gmail.com or begin a discussion on the message board here. "
1118,"Splitting the coast off of Lane County requires half the registered coastal voters to sign a petition, on the  next ballot a simple majority of the coastal votes cast in favor, and then to enjoy independence from Eugene ruled Lane County.  Only the coastal voters may sign and vote; Eugene has no vote in it.  Instead of scraps from Eugene; all the taxes, grants, and revenues by the coastal area paid to support Lane County will then REMAIN in the service of the coastal people.  Only then will the coast have County based services with true local representation for our current state of taxation.
Your New County will Focus on Essentials:
Safe - Your new coastal county will have its own “resident” Sheriff, patrol deputies, Judge, DA, courts, health & human services, and other essential programs.
Local - Your new coastal county will have its offices, facilities, and workers conveniently here on the coast. The jobs transferred will benefit our economy with salaries earned/spent on the coast.
Equitable - Your new coastal county will assure you get the county services you are paying for. The Highway 126 tunnel represents a cultural divide that separates us from Eugene; and our fair share of public safety resources and other public services. Some liken the tunnel to a worm hole between galaxies separating the coastal communities from the valley; thus we are easily ignored.
Affordable - Your new coastal county will not be burdened with over 160 years of questionable Eugene-centric decisions which have dramatically increased the cost of providing critical public safety and other essential services.  The new coastal county will not be in the financially devastating PERS.  The current fees, taxes, and federal/state revenue sharing generated by the coast and used by Eugene will remain on the coast to the benefit of the coastal communities. County services are allocated by funding and population; the coastal area has 5% the people, provides approximately 12% of the funding, and yet only receives 2-3% of the total county services.
Representative - Your new coastal county will provide 100% representation in deciding county level issues versus the current 5% the coast receives under Lane County. The 5% is based upon our choosing only one of the five commissioners, and then being only 25% of West Lane County who elect the Commissioner representing West Lane County. The West Lane District Commissioner is primarily elected by and serves the voters of the western greater Eugene area and its surrounding bedroom towns.
Oregon Revised Statues 202 allows the formation of a new county by a majority of the registered voters signing a petition for and then voting in favor of the proposed new county. ONLY those LIVING in the new coastal county area may sign/vote. The assets, liabilities, and funding portion the coast now provides Lane County would then be transferred to our elected representatives and their administration."
1119,"We are SAM—the Serve America Movement—an organization forging a new path to a real alternative to the Democratic and Republican parties. Please join our nationwide movement to form a third major political party from the moderate center of the American electorate, with the goal of selecting the next President of the United States in 2020. We will get together for a meetup soon. In the meantime, please join Southern Oregon SAM Meetup, and check out the national website at www.joinsam.org
SAM was founded in the aftermath of the 2016 election by a group of concerned, determined, everyday Americans who believe that the American political system is broken. The two current dominant parties have given us division, gridlock, and little progress. SAM is building a new home for those who feel disenfranchised and abandoned by the two current dominant parties, and are looking for a better, more inclusive path forward. We believe in certain broad principles. DIGNITY: restoring citizen engagement, civilized public discussion, broad acceptance of all persons to live their version of the American dream under the rule of law, and providing for those in need while promoting a culture of responsibility; LONG-TERM VIEW: ensuring fiscal responsibility in public finances, and sustainability of institutions and the environment to limit burdens on future generations by our actions of today; ENTREPRENEURIAL SPIRIT: embrace the efficiency of free markets as the backbone of American prosperity, promote free trade and responsible immigration of talented people from around the world, embrace technological innovation to modernize government and the delivery of solutions to common needs.
We actually are bigger than the two current major political parties, if we can just pull ourselves together! The American electorate, by expressed party affiliation:  Republicans 25%; Democrats 28%; Independents 45% [Source: Gallup, July 2017] Aside from a few members on staff on a day-to-day basis to keep the mission moving forward, Serve America Movement is entirely driven by passionate volunteers giving their time out of their own interest and concern."
1120,"Post events and invitations that create, support, develop, connect people ready and needing to be socially and politically active the next 4 years putting People and Planet before ""corporations are people"" and ""money is speech."""
1123,"We're a group affiliated with the Democratic Socialists of America and committed to ending capitalism, and promoting socialist policies like free college, single payer, higher wages, more rights for workers, immigrant rights, an end to fossil fuels, and a more just, more fair, and more democratic American economy. We meet the second Tuesday of every month at 7:30 in the Auburn library. "
1136,Starting with the Bellevue Comp Plan Book Club: Learn about the City policies that drive decisions in Bellevue.
1139,"A Toastmaster club for individuals who would enjoy a mutually supportive, positive and conservative/traditional learning environment in which every member has the opportunity to develop verbal communication and leadership skills. An environment where views are shared, and ideas developed within a framework of uplifting language and traditional values."
1140,"The ReLOVEution WILL be televised, because it will be EVERYWHERE. The ReLOVEution will be audacious. The ReLOVEution will be a cultural reversal. The ReLOVEution will be unavoidable as each of us becomes the change we want to see. The ReLOVEution will leave no one untouched. Nothing can stop the ReLOVEution. 
Our members aren't afraid to challenge old assumptions and beliefs, and they love to experiment and take action, not just to learn but to change themselves and others. Be the change you want to see and realize you'll have an impact. Use it. 
The world is changing. The old authoritarianism of centuries past is thrashing in death throes. The so-called rulers and leaders are blind with greed and power, and they're getting desperate. Now is the time for ReLOVEutionary action. No one is going to do it for us. WE need to make a new way forward. WE need to lead THEM. 
I've been working on this for eight years, writing and discussing my heart out. I haven't been able to do much on my own. I need local compadres. I hope we have many here in the south end. 
Please check out how far ReLOVEutionary thinking has come at . There's more elsewhere, but that's the latest. There's a lot of material there, so start with To start, our fledgling group will brainstorm what we're about and what we'll tackle. All that you need to bring is an open mind and a resolve to instigate change. 
 "
1142,"Critical philosophy (which is also known as critical theory or social philosophy) is the act of thinking critically and broadly about life and culture. 
What is the objective of the Society for Critical Philosophy?  We are building a coalition of thinkers who are ready and able to interact with the assumptions that reside at the base of culture, assumptions which are assumed to be intelligent and normative, merely because they have never been identified and challenged in light of a broader social context. 
""Many ideas prevalent today are revealed to be mere illusions when we consider them from the point of view of their social basis. But it is not enough merely to correlate these ideas with some one social group... We must penetrate deeper and develop them out of the decisive historical process from which the social groups themselves are to be explained.""*  To be more specific, we seek to target controlling, authoritarian premises, which lie at the heart of popular culture; we seek to expose and refute the tactics of ideology. Our main concern is the liberation of the individual; we seek to make people aware of the culture in which they exist; we seek to impart freedom through the medium of criticism, which is a tool that can be utilized to expand consciousness. We believe social awareness is vital to freedom. ""More than ever, the proposition holds true that progress in freedom demands progress in the consciousness of freedom.""**  All our lectures are free and open to the public; we are not trying to appeal to the prejudices of society, we are not trying to form a mass movement, we are trying to create a coalition of substance, a group of lecturers that produce quality work. This is all that matters; for this reason do we exist.    If the S.C.P. is successful it will provide a platform for philosophers to share their discoveries and criticisms. Our lectures will not be confined to a limited geography, but through social media, they will be made available to the general public.    All are welcome and encouraged to attend; we are always looking for serious thinkers that want to contribute to the emancipation of culture. Our speakers are not chosen on the basis of formal education, but by their *ability* to identify and refute the controlling assumptions that drive culture. Our concern is nothing less than the deconstruction of ideology aimed at the emancipation of the individual. Our presuppositions are boldly humanistic.   The S.C.P is part of a larger philosophical movement going back to the 1930's; it is represented by the work of Theodore Adorno, Max Horkheimer, Eric Fromm and Herbert Marcuse (to name just a few). Critical philosophy goes back to Socrates, it reached a climax in the work of Karl Marx.  [If the reader is interested in learning more about this subject they might begin by reading *Citation: The Social Function of Philosophy, contained in: Critical Theory. Selected Essays Max Horkheimer, published by Continuum 1982
** Citation: Herbert Marcuse,""Repressive Tolerance."" in A Critique of Pure Tolerance (Boston: Beacon Press, 1969) 
"
1143,"We like to enjoy a nice dinner while discussing progressive topics. We welcome everyone who is not dogmatic. Let's discuss the world's problems over a nice meal.
We only have one rule:
 "
1150,"Come join developers, designers, data geeks, leaders, and idea-makers who volunteer to help Seattle, WA government and civic orgs adopt open web technologies."
1151,"We are an inclusive group of Seattle-area anarchists and libertarians who love to get together regularly for drinks and conversation, and other future activities. Follow a schedule of events on the Seattle Liberty On The Rocks is a duplication of the "
1154,"Our mission is to increase political participation and civic involvement in the District by educating residents about the principles of the Democratic Party and empowering residents to support campaigns that reflect Democratic values. We endorse candidates, and ballot measures, and develop a legislative agenda that reflects the priorities of the District and the platform, policies, and values of the Democratic Party. Our goal is to provide funds and organizational support to advance Democratic campaigns and candidates that support our values through Get Out The Vote (GOTV) organizing, voter registration and education."
1155,"We are an inclusive group of Seattle-area anarchists and libertarians who love to get together regularly for drinks and conversation, and other future activities. Follow a schedule of events at 
 
More people come out to the events than the number of people that RSVP for them, because the events are being promoted on multiple meetup pages.  "
1156,"This is a group to discuss current affairs - both national and international. Possible areas to discuss include current national policy options, economics, international affairs, and general political theory relevant to current times. The discussions could focus on a specific topic, discussion of a book, or magazine (e.g. Foreign Affairs) article.
Please be aware that we are a discussion group, not a political action group.  All points of view are welcome.
There are two rules for this group:
1. Kindly refrain from posting ANY political or opinionated comment on the pages for this meetup. Bring your opinions to the meeting and you are free to state them there. The meetup web pages are for INFORMATIONAL ITEMS only. For example: how do I find the meetup, there are 7 copies available at the library, here is a link to the author's Ted talk, etc. No matter how innocuous you may think your opinions are, I receive ""hate mail"" about them, and some of these comments have actually discouraged people from joining the group. If you have any doubts about whether you should post, please err on the side of not posting. If you violate this, I will remove you from the group without any additional warning.
2. We are meeting at an eating establishment/coffee house. Please order a coffee or snack. It is polite to do so because we are using their facilities."
1157,"April 24, 2018
There are a few spots open for the Queen Anne and Bellevue Women's Groups. 
We also have a Men's group on Sat morning if we get enough interest.

If you are interested in participating in one of the groups starting, please contact me at pam@helpwithinreach.org.  For group details and times see "
1159,"This Group was started in 2004 by people who wanted to fight the Bush reelection.  Afterward, there were a few Event meeting where a topic was selected and guests invited.  Today we believe everyone should be aware of the local political action happening around them.  When we work together, we not only help ourselves, but make a proactive difference for all of us..
Lastly I recognize that it costs me $20 a month to post sa meeting here.  I may not always remember, but a donation in any amount is truly appreciated."
1162,"Our political system is at a crossroads. Our two parties are producing zero results for the American people, as they are more focused on running to the extremes to win elections than coming to center to solve problems. The political pendulum swings back and forth, but very little is getting done. It’s time to change the equation.
We’re surrounded by innovation every day. Companies and organizations that weren’t around ten years ago have revolutionized the way we travel, communicate, entertain, live, and learn. But in politics, we’re stuck with two choices that most of us don’t like. We think some innovation is long overdue to make our politics more representative of and responsive to all Americans.
Unite America aims to reshape and reform our political system – not as a traditional third party, but as America’s first Unparty. We are a 21st Century political organization dedicated to organizing independent voters and supporting independent candidates who desire to put our country ahead of any political faction in order to solve problems."
1164,"The mission of 500 Women Scientists is to promote a diverse and inclusive scientific community that brings progressive science-based solutions to local and global challenges. You can learn more about the national organization at 
In our local pod, we are focusing on 3 key areas: 1) Supporting scientific literacy 2) Promoting diversity and inclusivity in science 3) Stewarding the science policy interface
You can find out more about our pod, our mission, our teams, and upcoming events at "
